"publicdesc";"groupdesc";"privatedesc"
"Effects of different tau constructs on mitochondrial distribution in CHO cells. Mitochondrial distribution in CHO cells stably transfected with different tau constructs was examined after paraformaldehyde fixation. This allows the visualization of total tau in the cells, but tends to dissociate tau from the microtubules (see Materials and Methods). Human tau23, the shortest tau-isoform (a and b), as well as K35 (c and d), a tau construct lacking nearly the entire projection domain (see Fig. 1) both led to the phenotype of mitochondrial clustering near the MTOC as seen in tau40-stable cells. On the other hand, K23 (e and f), a tau construct lacking the microtubule-binding region and K12 (g and h), consisting mainly of this MT-binding region (Fig. 1), did not alter the distribution of mitochondria. This argues for a tight binding of tau to microtubules as a prerequisite for impairment of plus-endÃdirected transport of these organelles and excludes the possibility that tau might inhibit kinesin by directly interacting with the motor protein. Mitochondria were stained with MitoTrackerÂª Red (a, c, e, and g) and transfected tau with polyclonal antiÃtau antibody K9JA (b, d, f, and h). Bar, 20 mm.";"Fill in your group notes here.";"Fill in your private notes here."
"Microinjection of recombinant tau protein leads to mitochondrial clustering near the MTOC. Wild-type CHO cells were microinjected with 1.3 mg/ml (z1.2 mM) of purified recombinant tau protein and incubated for 4 h. After addition of MitoTracker
Âª Red (a and b), cells were fixed with araformaldehyde and stained with antibodies against tubulin (c and d) and tau (e and f). Mitochondrial clustering is visible even within 4 h after microinjection. Note that the microtubule network retains its normal appearance and that mitochondria in microinjected cells similar as in the tau-stable CHO and N2a cells tend to cluster
at one side of the nucleus in the vicinity of the MTOC. The cell periphery of microinjected cells is outlined for clarity. Bar,10 mm.";"Fill in your group notes here.";"Fill in your private notes here."
"Fill in your public notes here.";"Fill in your group notes here.";"Fill in your private notes here."
"Reassembly of microtubules after removal of nocodazole restores the clustering of mitochondria. The microtubule cytoskeleton
of tau-transfected CHO cells was disrupted by addition of 5 mM nocodazole for 3 h. Pictures of living cells were then taken after removal
of nocodazole and reassembly of microtubules
at the indicated time points. Mitochondria were
stained with MitoTrackerÂª green. Note that, concomitant with microtubule reassembly, the phenotype of mitochondrial clustering at the MTOC near the nucleus begins to reappear after z1 h. The cell periphery is outlined for clarity. Bar, 10 mm.";"Fill in your group notes here.";"Fill in your private notes here."
"Randomization of microtubule polarity by taxotere allows clustered mitochondria to disperse again. Tau-stable cells were treated with 10 mM taxotere for 6 h, which leads to an altered microtubule organization. Note that the MTOC in taxotere-
treated cells is barely visible in the tubulin stain (b), in contrast to nontreated cells (compare Fig. 2). Microtubules are nucleated randomly throughout the cytoplasm, thus abolishing
the role of the MTOC as an organizing element and therefore abolishing the polarity of microtubules. Minus-endÃdirected motors
are now able to transport mitochondria back to peripheral regions in the tau-stable cells. Cells were fixed in methanol and mitochondria were stained with MitoTrackerÂª Green (a), tubulin
was immunostained with DM1A (b). Bar, 10 mm.";"Fill in your group notes here.";"Fill in your private notes here."
"Dynamitin overexpression restores the wildtype
distribution of mitochondria. Tau-stable cells
were transfected with dynamitin (p50), a subunit of the dynactin complex. 6 h after transfection, the mitochondria began to disperse again, visualized with MitoTrackerÂª
Red after paraformaldehyde fixation (a). Note that the cell transfected with tau and dynamitin (arrowheads) shows dispersed mitochondria,
whereas the neighboring tau-stable cells
show the typical clustering near the MTOC. Dynamitin was stained with antidynamitin
50-1 antibody (b) and tubulin with YL1/2 antibody
(c). Bar, 20 mm";"Fill in your group notes here.";"Fill in your private notes here."
"Amyloid burden in entorhinal/occipital cortex of
PDAPP mouse. Coronal section of a PDAPP heterozygous mouse brain stained with anti Ab antibody 2332, and scanned at 10 ?m resolution. Only the Cy5 channel is shown. The area used for determination of amyloid burden, including portions of the entorhinal and occipital cortices,
is outlined by a solid black line. In triplicate samples (three different mice of the same age) the staining covered 3.67Â±0.29% of the entorhinal area. Scale bar = 1 mm.";"Fill in your group notes here.";"Fill in your private notes here."
"Measurement of hippocampal volumes using T1-weighted 3D spoiled gradient-recalled echo sequence in 75-year-old woman at time of diagnosis of mild cognitive impairment. This patientâs cognitive status remained stable during 49-month follow-up period. (Reprinted with permission from [28]) A, Unenhanced coronal T1-weighted image shows relatively normal volume in body of hippocampus. Boundary used for hippocampal measurement is outlined in white.
B, Unenhanced coronal T1-weighted image at region more anterior than that shown in A also shows relatively normal volume in head of hippocampus. Boundary used for hippocampal measurement is outlined in white.";"Fill in your group notes here.";"Fill in your private notes here."
"Measurement of hippocampal volumes using T1-weighted 3D spoiled gradient-recalled echo sequence in 70-year-old woman at time of initial diagnosis of mild cognitive impairment. This patient progressed to dementia over 43-month follow-up period. Comparison of these images with those shown in Figure 4 shows possible use
of volumetric imaging to predict subsequent course. (Reprinted with permission from [28])
A, Unenhanced coronal T1-weighted image shows relatively decreased volume in body of hippocampus. Boundary used for hippocampal measurement is outlined in white. Note that compared with patient shown in Figure 4A, hippocampal volume is decreased even though this patient is 5 years younger than patient shown in Figure 4.
B, Unenhanced coronal T1-weighted image at region more anterior than that shown in A also shows decreased volume in head of hippocampus. Boundary used for hippocampal measurement is outlined in white. Again, size of hippocampus in this patient is decreased compared with patient who did not progress to dementia, as shown in Figure 4B.";"Fill in your group notes here.";"Fill in your private notes here."
"Potential role of cerebral blood volume images
for aiding in diagnosis of Alzheimerâs disease.
Cerebral blood volume map obtained using T2*-
weighted perfusion imaging is shown in 83-year-old
woman with probable Alzheimerâs disease and Mini-
Mental State Examination score of 11 (normal, ? 27.6). Cerebral blood volume in temporoparietal regions (outlined in white) measured approximately 65% of reference cerebral blood volume in cerebellum in this patient (compared with mean of 112% in healthy control subjects), indicating diminished cerebral blood volume in same regions that are generally seen in Alzheimerâs disease patients studied with positron
emission tomography and SPECT.";"Fill in your group notes here.";"Fill in your private notes here."
"Differences in sites and sizes of regions of brain activation after memory task of patient with mild cognitive impairment and control subject. 67-year-old man shown in B was one of group of subjects with mild cognitive impairment who were found to have statistically less activation than control subjects in five of seven brain regions studied; similar trend that was not statistically significant was seen in other two brain regions. Brain activation studies in both groups were obtained in identical fashion
and were analyzed using same statistical threshold, smoothing and clustering. (Courtesy of Petrella J, Durham, NC)
A, Brain activation functional imaging performed during memory task in 71-year-old man with normal cognitive functioning, on no medication, shows robust activation (depicted in colored voxels) in right frontal lobe.
B, Brain activation functional imaging performed during memory task in 67-year-old man with mild cognitive impairment (receiving no medication) shows decreased activation (depicted in color voxel overlay) in right frontal lobe compared with individual shown in A. Note activation in left frontal lobe, which suggests possible contralateral hemisphere compensatory activation.";"Fill in your group notes here.";"Fill in your private notes here."
"Axial blood flow images in a normal elderly subject (second row) and 4 patients with severe Alzheimerâs disease (bottom four rows). The anatomical images from the normal subject are shown on top for spatial reference.";"Fill in your group notes here.";"Fill in your private notes here."
"The volume of the brain evaluated in this study. The color scale represents the number of 4-mm voxels with data in at least 7 subjects along a 3-cm deep line into the brain. A three-dimensional rendering of a brain is shown in regions where insufficient data were obtained. The most superior regions of the frontal and parietal lobes and the most inferior regions of the temporal lobes were not evaluated. Imaging artifacts may also compromise the significance of results in the most inferior portions of the frontal lobe.";"Fill in your group notes here.";"Fill in your private notes here."
"Significant decreases in regional blood flow relative to the control population. Significant results are overlaid in color on top of a surface rendering of the brain. Yellow colors are the most significant and dark red are the least significant.";"Fill in your group notes here.";"Fill in your private notes here."
"Significant correlations between decreased regional blood flow and severity of disease as measured by the decrease in Mini-Mental State Examination score. Significant results are overlaid in color on top of a surface rendering of the brain. Yellow colors are the most significant and dark red are the least significant.";"Fill in your group notes here.";"Fill in your private notes here."
"MRI and 1H-MRSI of a patient with Alzheimer's disease.The MRI slice is 3 mm thick and corresponds to the center of the 15-mm thick
1H-MRSI slice. Cho = choline; Cre = creatine; NA = N-acetylaspartate. 1H-MRSI data are displayed using a color scale that depicts the strongest signal integral with red and the weakest with dark blue. The 1H-MRSI data are displayed at their nominal uoxel in-plane resolution (7.5 mm x 7.5 mm). Color images are scaled to the highest value of each metabolite signal intensity for each 1H-MRSI slice, so that the pattern of regional distribution of metabolite signal intensities within the same slice can be compared between subjects, although color intensity from the same anatomic location cannot be compared between subjects.";"Fill in your group notes here.";"Fill in your private notes here."
"Confocal laser scanning microscopic images (xy-views) of the plaque formed on resin composite and human enamel surfaces at the 4-, 8- and 24-h periods. (Magnification ?600) (a) 4-h plaque on resin composite, (b) 8-h plaque on resin composite, (c) 24-h plaque on resin composite, (d) 4-h plaque on enamel, (e) 8-h plaque on enamel and (f) 24-h plaque on enamel.";"Fill in your group notes here.";"Fill in your private notes here."
"Confocal laser scanning microscopic images (xy-views) of the plaque formed on resin composite and human enamel surfaces at the 4-, 8- and 24-h periods. (Magnification ?600) (a) 4-h plaque on resin composite, (b) 8-h plaque on resin composite, (c) 24-h plaque on resin composite, (d) 4-h plaque on enamel, (e) 8-h plaque on enamel and (f) 24-h plaque on enamel.";"Fill in your group notes here.";"Fill in your private notes here."
"Confocal laser scanning microscopic images (xz-views) of the plaque formed on resin composite and human enamel surfaces at the 4-, 8- and 24-h periods. (Magnification ?600) (a) 4-h plaque on resin composite, (b) 8-h plaque on resin composite, (c) 24-h plaque on resin composite, (d) 4-h plaque on enamel, (e) 8-h plaque on enamel and (f) 24-h plaque on enamel.";"Fill in your group notes here.";"Fill in your private notes here."
"Comparison of anisotropy in the corpus callosum between young (white bars), nondemented older adults (gray bars) and demented older adults (black bars). (A) Anterior corpus callosum with mean (SEM). (B) Posterior corpus callosum with mean (SEM). (C) Scatterplot of anisotropy in the anterior corpus callosum in nondemented older adults (gray diamonds) and demented older adults (black circles). (D) Scatterplot of anisotropy in the posterior corpus callosum in nondemented older adults (gray diamonds) and demented older adults (black circles). The dashed and black linear regression lines apply, respectively, to the nondemented and demented older adult groups. Numbers indicate bar values with SD in parentheses.";"Fill in your group notes here.";"Fill in your private notes here."
"a MR image of normal hippocampus of a 75-year-old female (category 1). b MR image of slightly atrophic hippocampus of a 73-year-old female (category 3). c MR image of severely atrophic
hippocampus of a 71-year-old female (category 5). Arrows indicate the hippocampus";"Fill in your group notes here.";"Fill in your private notes here."
"Images of an AD patient
(70-year-old female, MMSE
score 19). The hippocampus
(arrow) is clearly atrophic in
the thin-section MR image (a).
The Z-score images of 3D-SSP
(b) show bilateral hypoperfusion
of the parietotemporal
lobes and posterior cingulate
gyri (arrows), whereas the abnormal
pattern of AD is not
definite in the transaxial section
displays of SPECT (c) or
the perfusion MR image (d).";"Fill in your group notes here.";"Fill in your private notes here."
"References:
Christoffels et al. A Mechanistic Model for the Development and Maintenance of Portocentral Gradients in Gene Expression in the Liver. HEPATOLOGY 1999;29:1180-1192.

Figure 2A:
Distribution of GS protein in the liver of a rat. The use of a sensitive monoclonal antibody (Transduction Laboratories) reveals a much wider pericentral distribution of GS expression than thus far described.";"Fill in your group notes here.";"Fill in your private notes here."
"References: 
Christoffels et al. A Mechanistic Model for the Development and Maintenance of Portocentral Gradients in Gene Expression in the Liver. HEPATOLOGY 1999;29:1180-1192. 

Figure 2B: 
Distribution of GS mRNA in the liver of a 48-hour-starved mouse injected with 3 mg dexamethasone phosphate/kg body weight 16 hours before killing. The combination of fasting with hormone treatment reveals a much wider pericentral distribution of GS expression than thus far described.";"Fill in your group notes here.";"Fill in your private notes here."
"References:
Christoffels et al. A Mechanistic Model for the Development and Maintenance of Portocentral Gradients in Gene Expression in the Liver. HEPATOLOGY 1999;29:1180-1192.

Figure 3A:
Distribution of GS mRNA in the livers of fed mice. Distribution of GS mRNA in serial liver sections of an adult, fed mouse. CPS mRNA levels are increased 2.1-fold.";"Fill in your group notes here.";"Fill in your private notes here."
"References:
Christoffels et al. A Mechanistic Model for the Development and Maintenance of Portocentral Gradients in Gene Expression in the Liver. HEPATOLOGY 1999;29:1180-1192.

Figure 3D:
Distribution of GS mRNA in serial liver sections of an adult, 48-hour-starved mouse injected with 3 mg dexamethasone phosphate/kg body weight 16 hours before killing. GS mRNA identifies the hepatocytes surrounding the central vein.";"Fill in your group notes here.";"Fill in your private notes here."
"Group-averaged anisotropy (A) [0 (dark) to 0.5 (white)] and mean
diffusivity ( ) [0.65 (dark) to 1.5 (white) m2/ms] for the three subject groups. The A
and images were computed from DWI data, transformed into a standard atlas
space and then the A and images were averaged across the 25 individuals within
each group. For all groups the selected slice corresponds to Z = 12 in the atlas of
Talairach and Tournoux (1988).";"Fill in your group notes here.";"Fill in your private notes here."
"Examples of ROI demarcation on anisotropy images: (A) anterior corpus callosum; (B) posterior corpus callosum; (C) occipital lobe white matter; (D) frontal lobe white
matter; (E) temporal lobe white matter; and (F) parietal lobe white matter";"Fill in your group notes here.";"Fill in your private notes here."
"Comparison of diffusivity in the corpus callosum between young (white bars), nondemented older adults (gray bars) and demented older adults (black bars). (A) Anterior
corpus callosum with mean (SEM). (B) Posterior corpus callosum with mean (SEM). (C) Scatterplot of diffusivity in the anterior corpus callosum in nondemented older adults (gray
diamonds) and demented older adults (black circles). (D) Scatterplot of diffusivity in the posterior corpus callosum in nondemented older adults (gray diamonds) and demented older
adults (black circles). The dashed and black linear regression lines apply, respectively to the nondemented and demented older adult groups. D is in units of Âµm2/ms.";"Fill in your group notes here.";"Fill in your private notes here."
"Representative regions of interest in frontal lobe white matter (from left to right) at 15 mm above, 10 mm above, 5 mm above,

0 mm below, and 5 mm below the anterior commissureâposterior commissure (AC-PC) plane. Also represented are the regions of interest

at the genu and splenium of the corpus callosum (indicated on the slice 10 mm above the AC-PC plane) and the region of interest in

the temporal lobe white matter (far right). Top row=B0 images. Bottom row=corresponding fractional anisotropy images.";"Fill in your group notes here.";"Fill in your private notes here."
"Comparison of anisotropy in the lobar regions between young (white bars), nondemented older adults (gray bars) and demented older adults (black bars). (A) Frontal lobe
white matter, (B) temporal lobe white matter, (C) parietal lobe white matter, (D) occipital lobe white matter.";"Fill in your group notes here.";"Fill in your private notes here."
"Comparison of diffusivity in the lobar regions between young (white bars), nondemented older adults (gray bars) and demented older adults (black bars). (A) Frontal lobe
white matter, (B) temporal lobe white matter, (C) parietal lobe white matter, (D) occipital lobe white matter.";"Fill in your group notes here.";"Fill in your private notes here."
"Z-maps of group comparisons of anisotropy on a voxel-by-voxel basis. All voxels are significant at the Z = 3.09, P < 0.001 level, uncorrected for multiple comparisons.
Color bar represents range of Z values. The axial section corresponds to z = 10 above the plane of the anterior commissureâposterior commissure (Talairach and Tournoux, 1988).";"Fill in your group notes here.";"Fill in your private notes here."
"Projection of average brain activation during encoding of color pictures in sagittal, coronal, and transverse directions in the control group and in the patients.
A, Control group (n 5 10, left in picture is left in brain). A one-sample t test random effects analysis (P , .001; uncorrected; minimal cluster size, 108 mm3) was applied. Significant activation is observed in the occipital cortex, fusiform gyri, left parahippocampal gyrus, parietal lobe, and left inferior frontal gyrus.
B, Patients (n 5 11). The main effect of signal increase is seen in the occipital cortex, right parahippocampal gyrus, fusiform gyrus, and cerebellum.";"Fill in your group notes here.";"Fill in your private notes here."
"Sagittal, coronal, and transverse sections showing a significant increase in brain activation in control volunteers compared
with patients in the left hippocampus and parahippocampal gyrus (black areas) during the first task, after application of the
region of interest analysis (P , .05, uncorrected). The same effect is seen in the right parahippocampal gyrus (not shown). Activation is projected on the average brain of the 10 control volunteers (3D gradient-echo, T1-weighted sequence with parameters 15/7/1). Left in the figure is left in the brain.";"Fill in your group notes here.";"Fill in your private notes here."
"Projection of average brain activation during encoding of line drawings in sagittal, coronal, and transverse directions in the control group and in patients. A, Control group (n 5 10, left in the figure is left in the brain). A one-sample t test random effects analysis (P , .001; uncorrected; minimal cluster size, 108 mm3) was applied. Significant activation is observed in the cerebellum, occipital cortex, parietal cortex, inferior frontal gyrus, and left parahippocampal gyrus. B, Patients (n 5 8). The main effect of signal increase is seen in the occipital and parietal cortex, right precentral gyrus, left insula, left middle frontal gyrus, and cingulate sulcus.";"Fill in your group notes here.";"Fill in your private notes here."
"A, Segmented MRI showing frontal (F), parietal (P), temporal (T), or occipital (O) lobe. WM, GM, and CSF were rendered with different colors; B, Transaxial NAA images; C, A sagittal scout MRI indicating slice positions; D, A contour plot
showing alignment of MRI and MRSI.";"Fill in your group notes here.";"Fill in your private notes here."
"Example of mI and NAA images and RCMS from
MRSI voxel in the regions of parietal GM in a 66-year-old AD and an 85-year-old CN.";"Fill in your group notes here.";"Fill in your private notes here."
"apoptosis at 72 hours";"Fill in your group notes here.";"Fill in your private notes here."
"Proteolytic cleavage of APP by Î±-, Ã-, and Ï-secretases. APP undergoes proteolytic cleavage via two distinct pathways. In the onamyloidogenic pathway, APP is cleaved by Î±-secretase resulting in a soluble Nterminal fragment (sAPPÎ±) and a membrane bound C-terminal fragment that is further cleaved by Ï-secretase to produce P3. In the second pathway, APP cleavage by Ã-secretase produces a soluble N-terminal fragment (sAPPÃ) and a C-terminal fragment that is further cleaved by Ï-secretase to produce A40â43. Reprinted with permission from K. Shoghi-Jadid and Elsevier Publishers (Shoghi-Jadid et al 2005). APP, amyloid precursor protein; AÃ, Ã-amyloid peptide.";"Fill in your group notes here.";"Fill in your private notes here."
"PET images of [11C]PIB in a patient with AD and a healthy subject. A significant retention of PIB is observed in frontal and temporoparietal areas in patients with AD when compared with control subjects. Printed with permission from Chet Mathis. PET, positron emission tomography; PIB, Pittsburgh Compound B; AD, Alzheimerâs disease.";"Fill in your group notes here.";"Fill in your private notes here."
"A comparison of positron emission tomography images of cerebral glucose metabolism in patients with probable Alzheimerâs disease (AD) and
normal controls. The group with probable AD demonstrated significantly reduced rates of glucose metabolism (indicated in purple) bilaterally in the prefrontal (PF), parietal (Pa), temporal (Te), and posterior cingulate (PC) regions when compared with the control group. Reprinted from Reiman et al (1996) with permission from the Massachusetts Medical Society Â© 1996. All rights reserved";"Fill in your group notes here.";"Fill in your private notes here."
"Representative group axial activation maps (t . 3.5) for the visually guided saccade paradigm through the SEF (1), FEF (2), IPS (3), and PFC (4). The activation is displayed as a hot iron color scale (bottom right) where red is the lowest t threshold and yellow is the peak t value. The activation is displayed over group structural images to show the degree of blurring from biological anatomic variation. A relates to patients with pAD and B to control volunteers.";"Fill in your group notes here.";"Fill in your private notes here."
"HMPAO SPECT images of AD patients with similar SADs: comparison using SPM.Left:3-way-glass brain view of area
of significant hypoperfusion present in CSAD group compared with NHDgroup. Right Sagittal,coronal, and transversesections of normalized registered MRI brainimage with z scores from statistically significant cluster for comparison between CSAD group and NHD group superimposedon them. Positionsof slices were â28mm (sagittal), +52 mm (coronal),and +10 mm (transverse)with
reference to stereotactic coordinates of Talairach and Toumoux( 16). Image in bottom right corner is +52-mm (coronal) slice with approximate position of Brodmann's areas indicated";"Fill in your group notes here.";"Fill in your private notes here."
"HMPAO SPECT images of AD patients with simila Cr SADs: comparison using SPM. Left:3-way-glass brain view of area
of significant hypo perfusion present in CS AD group compared with group with delusions but no history of autobiographic delusions.
Right: Sagittal,coronal,and transversesectionsof normalized registered MRI brain image with z scores from statistically significant
cluster for comparison between CSAD group andgroup with delusions but no history of autobiographic delusions superimposed on them. Positionsof sliceswere â28mm (sagittal),+52 mm (coronal),and +10 mm (transverse)with referenceto stereotactic coordinates of Talairachand Toumoux ( 16). Image in bottom right corner is +52-mm (coronal) slice with approximate position of
Brodmann'sareas indicated.";"Fill in your group notes here.";"Fill in your private notes here."
"In vivo imaging of Alzheimer disease. (a,b) Imaging of amyloid-B plaques in AD model mice using newly developed probes by near-infrared fluorescence imaging(a) and fluorine MRI (b)";"Fill in your group notes here.";"Fill in your private notes here."
"PIB is differentially retained only in amyloid-laden cortical areas of AD brain. Standardized uptake values (SUVs) demonstrating
brain entry and clearance of PIB. A to C represent averaged SUV values for all HC subjects (open, black symbols; n 9) and all AD patients (filled, red symbols; n 15) in cerebellum, subcortical white matter, and frontal cortex. D and E show brain entry and clearance in cerebellum (triangles), subcortical white matter (diamonds), frontal cortex (squares), and parietal
cortex (circles) for an older control subject (D) and an AD patient (E). Error bars represent one standard deviation (SD) and are too small to be seen in some of the HC subject data in A to C. Asterisks (e.g., in C) indicate a significant difference between ADand HC values (p 0.006). Shaded areas highlight the 40 to 60-minute time period used for the summed SUV data displayed in
Figures 4 to 7.";"Fill in your group notes here.";"Fill in your private notes here."
"PIB standardized uptake value (SUV) images demonstrate a marked difference between PIB retention in Alzheimerâs disease (AD) patients and healthy control (HC) subjects. PET images of a 67-year-old HC subject (left) and a 79-yearold
AD patient (AD6; MMSE 21; right). (top) SUV PIB
images summed over 40 to 60 minutes; (bottom) 18FDG rCMRglc images (mol/min/100ml). The left column shows lack of PIB retention in the entire gray matter of the HC subject (top left) and normal 18FDG uptake (bottom left). Nonspecific PIB retention is seen in the white matter (top left). The right column shows high PIB retention in the frontal and temporoparietal cortices of the AD patient (top right) and a typical pattern of 18FDG hypometabolism present in the temporoparietal cortex (arrows; bottom right) along with preserved metabolic rate in the frontal cortex. PIB and 18FDG scans were obtained within 3 days of each other.";"Fill in your group notes here.";"Fill in your private notes here."
"Serial planes demonstrate the topography of PIB retention. Axial (top two rows) and sagittal (bottom two rows) standardized uptake value (SUV) PIB images of the subjects shown in Figure 4. The healthy control subject data are shown in rows 1 and 3. The Alzheimerâs disease patient data are shown in rows 2 and 4. The reference region, the cerebellum, can best be appreciated in the images at the far right. The cerebellar peduncles (white matter) show some nonspecific retention, but the cerebellar cortex shows negligible retention. Scale bar indicates relative levels of PIB SUV values.";"Fill in your group notes here.";"Fill in your private notes here."
"vertical section of senescent hMSCs";"Fill in your group notes here.";"Fill in your private notes here."
"The differences in PIB retention between Alzheimerâs disease (AD) patients and healthy control (HC) subjects can be quantified
and are statistically significant. Shown is the accumulation of PIB and rCMRglc in selected regions. Average PIB standardized uptake value (SUV) values were summed over 40 to 60 minutes in cortical areas (A) or white matter areas (B) and compared with cerebellum. Values for 18FDG uptake were calculated with the Gjedde-Patlak method in cortical areas (C) or white matter areas (D) and compared with cerebellum. The mean and one SD are indicated with the error bars beside the individual points. HC subjects: circles; n 9; filled circles represent the three young HC subjects; boxed circle represents the outlier in the HC group (oldest subject). AD patients: triangles; n 15 (SUV) or n 16 (FDG); open triangles represent the three outliers in the
AD group. AD mean and SD values include all 15 (SUV) or 16 (18FDG) AD subjects; p0.01 (*); p 	 0.002 (**); p 0.0002 (***).";"Fill in your group notes here.";"Fill in your private notes here."
"Subcortical white matter diffusion abnormality in five brain regions over the right and left cerebral hemispheres of 21 patients with Alzheimerâs disease (AD). Note the clear sparing of the pericentral regions and predominant involvement of the parietal and temporal regions bilaterally (see text for the levels of tatistical
significance).";"Fill in your group notes here.";"Fill in your private notes here."
"Specific and displaceable PIB binding occurs in the cortex of postmortem Alzheimerâs disease (AD) brain, but not in white matter or control brain cortex. Autoradiograms showing the binding of PIB to fresh-frozen, post-mortem control (A, B) and AD brain sections (C, D). All sections were incubated with 10nM PIB. Excess nonradioactive BTA-1(10ÂµM) was added in B and D to demonstrate displaceable binding. Arrows indicate the location of white matter and cortex (gray
matter area is circled in A, C). Cortex is barely visible on control sections because of lack of binding.";"Fill in your group notes here.";"Fill in your private notes here."
"Representative images from an aged matched
control (left column) and a patient with probable
Alzheimerâs disease (right column). The MR images in the rows (top to bottom, respectively) are T2 weighted at the level of the internal capsule, corresponding LI anisotropy images, matching colour coded LI images, and colour coded
LI images at the level of the superior longitudinal fasciculus. The splenium (red arrow), superior longitudinal fasciculus (light green arrow), cingulum (dark green), and
pyramidal tract (light blue) are demonstrated in the colour coded LI maps.";"Fill in your group notes here.";"Fill in your private notes here."
"Statistical parametric maps (P , 0:01 ncorrected) showing fMRI activations for the subtraction contrast (Calculating â Counting) in elderly
healthy controls (top) and AD patients (middle). Each contrast is shown on left and right medial views, and right and left lateral views. The bottom of the figure shows prefrontal and parietal regions, where activity was significantly higher in controls than in AD patients (P , 0:01 uncorrected). Axial slices are in neurological convention (left is left). Maps are rendered on T1-weighted templates provided with SPM2. Key structures are labeled with the following abbreviations: SMA, supplementary motor area; IPC, inferior parietal cortex; IFG, inferior frontal gyrus; DLPFC, dorso-lateral
prefrontal cortex.";"Fill in your group notes here.";"Fill in your private notes here."
"Fluorescence micrograph of a section of ransgenic mouse brain stained with thioflavin-S.";"Fill in your group notes here.";"Fill in your private notes here."
"Effect of DSP4 treatment on plaque number. H6 male mice were chronically treated with DSP4 (5 mg/kg; beginning at age 3â4 months). After 6 months treatment (at age 8â9 months), serial sagital brain sections (separated by 210Âµm) were prepared from vehicle- and DSP4-treated mice (n = 6 each), stained using AÃ1-42 specific rabbit polyclonal antibody FCA3542 (Calbiochem; 1:1000 dilution), and visualized with HRP-conjugated secondary antibody and DAB. Representative sections from vehicle (A, containing 19 plaques) and DSP4-treated (B, containing 64 plaques) mice are shown. Bar size is 500Âµm. Plaque
burden (number and area stained) was quantified using Axiovision 4.5 Measurement Wizard software. Sections were viewed at 100Ã using a 10Ã objective, and the average plaque number (C) and % area stained (D, relative to the total section area of 21mm2) per section determined (n = 8 sections per animal). The data was analyzed by two-tailed T-test assuming equal variances; *P < 0.05. (E) The relative size distribution for all plaques detected in vehicle (n = 626) and
DSP4-treated (n = 3009) brain sections is shown. The insert expands the range from 1000 to 12,000ÂµM2 to show increased number of larger-sized plaques in DSP4 samples. In DSP4 sections, 16/3009 plaques were >5000ÂµM2 vs. 1/626 in the vehicle sections.";"Fill in your group notes here.";"Fill in your private notes here."
"Three-dimensional maps of the subcortical mean diffusivity (MD) for one healthy, elderly subject and two Alzheimerâs disease (AD) patients. Corresponding surface anatomic images are also shown as a reference. Compared with a healthy subject (a 69-year-old female) (a), abnormal MD elevation is seen in the bilateral parietal regions and left temporal and occipital regions in an AD patient (a 57-year-old female; MMSE score = 22) (b). The bilateral frontal lobes are also mildly involved. In a more advanced AD patient (a 76-year-old male; mini-mental state examination score = 13), severe involvement of the bilateral parietal, temporal, and occipital regions is seen (c). Note that the pericentral regions are clearly spared in both patients. The MD values are indicated in 10â3 mm2/s.";"Fill in your group notes here.";"Fill in your private notes here."
"Effect of DSP4 treatment on APP C-terminal fragments. Brain extracts were prepared from vehicle and DSP4-treated mice and analyzed
by Western blotting (A) using antibody G369 (directed against the APP Cterminus and which detects both APP holo-protein (top panel) and cleavage products of Î±- and Ã-secretase (C-terminal fragments, CTFs; bottom panel). (B) Quantitation of immunostaining. Densitometric analysis of band intensities shown in A for APP holoprotein and CTFs was carried out using ImageJ
1.31V software; the effect of DSP4 on band intensity is shown relative to the average staining intensity obtained for vehicle samples (which was set to 1.0). DSP4 treatment caused an approximately 2.5-fold increase in levels of
CTFs but had no effect on levels of the holoAPP. Equal sample loading was verified using an antibody to Î±-tubulin (not shown). *P < 0.05, DSP4-treated vs. vehicle-treated, n=3.";"Fill in your group notes here.";"Fill in your private notes here."
"Effects of DSP4 on glial activation. Sections from vehicle and DSP4-treated H6 mice brains were stained with antibodies directed against (AâC)Mac1 to assess microglial activation and (DâF) GFAP to assess astrocyte activation. Images in panels C and F show co-labeling with thioflavin-S staining to demonstrate increased glial activation surrounding amyloid plaques. (GâI) Quantitative analysis of Mac1 and GFAP staining. The data is average area stained per section
(as % total area) from DSP4-treated (n = 3 for Mac1; n = 7 for GFAP) and vehicle-treated (n = 4 for Mac1; n = 9 for GFAP) mice. For Mac1, data is shown for Frontal Cortex (FC) and Hippocampus (HC); for GFAP data is shown only for HC since staining in FC was low or absent. *P < 0.05 unpaired T-test. Size bars: A and B 100Âµm; D and E 200Âµm.";"Fill in your group notes here.";"Fill in your private notes here."
"ROIs on the summed coronal [11C]6-OH-BTA-1 PET slices in transgenic mouse. R right, L left, FR frontal cortex, ST striatum, PA parietal cortex,
TH thalamus, CE cerebellum, PO pons.";"Fill in your group notes here.";"Fill in your private notes here."
"Treatment of cortical neurons with fibrillar AÃ induces tau proteolysis at Asp421.
Primary cultures of cortical neurons prepared from embryonic day-18 rats were treated with 10 ÂµM fibrillar A(1â42) for 0â24 h, and lysates were immunoblotted with TauC3 (Upper) or PARP (Lower) mAbs.";"Fill in your group notes here.";"Fill in your private notes here."
