"string";"# total labels";"total labels";"# unique labels";"unique labels"
"['diffraction', 'electron']";"1";"electron";"1";"electron"
"['cells', 'mitochondria', 'near', 'addition', 'antibody', 'cho', 'mito-', 'mocktransfected', 'mtoc']";"2";"antibody, near";"2";"antibody, near"
"['portal', 'reference', '1998', '323-331.', 'adult', 'al.', 'arrow', 'arrowhead', 'arteries']";"3";"adult, reference, portal";"3";"adult, reference, portal"
"['rows', 'two', 'control', 'individual', 'patient', 'pib', 'show', 'shown', 'suv']";"3";"patient, control, two";"3";"patient, control, two"
"[]";"0";"";"0";""
"['labeled', 'neurons', 'transgenic', 'alexafluor594', 'bar', 'control', 'cortical', 'dextran', 'differences']";"2";"control, labeled";"2";"control, labeled"
"['amyloid', 'brain', 'imaging', 'labelled', 'methoxy-xo4', 'mouse', 'plaques', '21-month-old', '2576']";"4";"brain, month, mouse, old";"4";"brain, month, mouse, old"
"['1180-1192.', '1999', 'al.', 'christoffels', 'control', 'development', 'distribution', 'expression', 'figure']";"5";"development, control, development, distribution, expression";"5";"development, control, development, distribution, expression"
"['tau', 'vitro', '200', 'asp421', 'assembled', 'assembly', 'bar', 'electron', 'extent']";"5";"tau, assembly, assembly, electron, extent";"5";"tau, assembly, assembly, electron, extent"
"['bright', 'field', 'image']";"2";"image, field";"2";"image, field"
"['central']";"0";"";"0";""
"['amyloid', 'chemical', 'compounds', 'development', 'imaging', 'ligands', 'structures']";"3";"development, chemical, development";"3";"development, chemical, development"
"['expression', '1180-1192.', '1999', 'al.', 'central', 'christoffels', 'development', 'dexamethasone-treated', 'figure']";"4";"dexamethasone, development, development, expression";"4";"dexamethasone, development, development, expression"
"['brain', 'neurons', 'alzheimer', 'control', 'cortex', 'cross-link', 'disease', 'frontal', 'intensity']";"5";"disease, brain, control, cross, intensity";"5";"disease, brain, control, cross, intensity"
"['cells', 'microinjected', 'tau', 'cho', 'clustering', 'mitochondrial', 'mtoc.', 'protein', 'recombinant']";"3";"tau, protein, protein";"3";"tau, protein, protein"
"['cps', 'mrna', '1180-1192.', '1999', 'al.', 'central', 'christoffels', 'control', 'development']";"3";"development, control, development";"3";"development, control, development"
"['white', 'lobe', 'matter', 'bars', 'adults', 'older', 'black', 'comparison', 'demented']";"5";"black, comparison, white, lobe, white";"5";"black, comparison, white, lobe, white"
"['1180-1192.', '1999', '48-hour-starved', 'adult', 'al.', 'body', 'christoffels', 'cps', 'development']";"5";"adult, body, development, development, hour";"5";"adult, body, development, development, hour"
"['app', '-secretase', 'fragment', 'cleavage', 'cleaved', 'c-terminal', 'pathway', 'produce', 'proteolytic']";"3";"fragment, pathway, terminal";"3";"fragment, pathway, terminal"
"['amyloid', 'burden', 'entorhinal', 'pdapp', '0.29', '2332', '3.67', 'age', 'anti']";"2";"age, burden";"2";"age, burden"
"['abc', 'dendrites', 'bar', 'distal', 'effects', 'gross', 'htau23', 'injected', 'lucifer']";"2";"distal, gross";"2";"distal, gross"
"['mrna', '1180-1192.', '1999', '48-hour-starved', 'adult', 'al.', 'body', 'central', 'christoffels']";"3";"adult, body, hour";"3";"adult, body, hour"
"['left', 'cortex', 'gyrus', 'activation', 'brain', 'control', 'frontal', 'group', 'occipital']";"5";"brain, activation, group, control, left";"5";"brain, activation, group, control, left"
"['large', 'cholangiocytes', 'loss', 'biliary', 'cartoon', 'ccl4', 'ducts', 'function', 'proliferate']";"4";"biliary, function, large, loss";"4";"biliary, function, large, loss"
"['activation', 'brain', 'cognitive', 'frontal', 'impairment', 'man', 'memory', 'mild', 'task']";"8";"brain, activation, cognitive, impairment, man, memory, mild, memory";"8";"brain, activation, cognitive, impairment, man, memory, mild, memory"
"['distribution', 'expression', '1180-1192.', '1999', 'al.', 'antibody', 'christoffels', 'described', 'development']";"5";"antibody, development, development, distribution, expression";"5";"antibody, development, development, distribution, expression"
"[]";"0";"";"0";""
"['bile', 'cut', 'liver', '2002.', 'biliary', 'canal', 'ck-19.', 'crawford.', 'crosssection']";"5";"liver, bile, biliary, canal, cut";"5";"liver, bile, biliary, canal, cut"
"['amygdala', 'amydala', 'atrophy', 'emotional', 'hippocampus', 'reduction', '/id', '1994', 'accuracy']";"5";"accuracy, atrophy, amygdala, emotional, hippocampus";"5";"accuracy, atrophy, amygdala, emotional, hippocampus"
"['mab', 'cerebellum', 'jm72', 'non-fibrillar', 'plaques', 'senile', 'stained', 'cerebellar', 'cortex']";"1";"cerebellum";"1";"cerebellum"
"['regions', 'abnormality', 'alzheimer', 'bilaterally', 'brain', 'cerebral', 'clear', 'diffusion', 'disease']";"4";"disease, brain, abnormality, diffusion";"4";"disease, brain, abnormality, diffusion"
"['hmscs', 'section']";"3";"section, section, section";"3";"section, section, section"
"['plaques', 'astrocytes', 'brain', 'neuritic', '62-year-old', '66-year-old', 'amyloid', 'antibodies', 'around']";"5";"brain, old, old, year, year";"3";"brain, old, year"
"['fluorescence', 'images', 'probes', 'sps', '-amyloid', '6-dialkylamino-2-', 'agdeppa', 'alzheimer', 'andrej']";"1";"fluorescence";"1";"fluorescence"
"['third', 'ventricle', 'acetyltransferase', 'activity', 'also', 'alzheimer', 'chat', 'choline', 'correlated']";"4";"activity, choline, third, third";"4";"activity, choline, third, third"
"['amygdala', 'atrophy', 'emotional', 'hippocampus', 'reduction', '10.', '1994', 'accuracy', 'ahc']";"5";"accuracy, atrophy, amygdala, emotional, hippocampus";"5";"accuracy, atrophy, amygdala, emotional, hippocampus"
"['series', 'zebrafish', 'embryo.', 'leukocytes', '488', '568', 'alexa', 'associated', 'confocal']";"4";"embryo, associated, series, zebrafish";"4";"embryo, associated, series, zebrafish"
"['glucose', 'metabolism', 'probable', '1996', '1996.', 'alzheimer', 'bilaterally', 'cerebral', 'cingulate']";"1";"glucose";"1";"glucose"
"['cells', 'cell', 'cho', 'compared', 'less', 'mocktransfected', 'periphery', 'almost', 'altered']";"3";"cell, cell, cell";"3";"cell, cell, cell"
"['schizophrenic', 'brain', 'control', 'data', 'represent', 'using', '-glutamyl', '81d4', 'antibody']";"4";"brain, data, antibody, control";"4";"brain, data, antibody, control"
