"string";"# total labels";"total labels";"# unique labels";"unique labels"
"Measurement of hippocampal volumes using T1-weighted 3D spoiled gradient-recalled echo sequence in 75-year-old woman at time of diagnosis of mild cognitive impairment. This patientâs cognitive status remained stable during 49-month follow-up period. (Reprinted with permission from [28]) A, Unenhanced coronal T1-weighted image shows relatively normal volume in body of hippocampus. Boundary used for hippocampal measurement is outlined in white.
B, Unenhanced coronal T1-weighted image at region more anterior than that shown in A also shows relatively normal volume in head of hippocampus. Boundary used for hippocampal measurement is outlined in white.";"46";"status, period, anterior, at, at, head, time, body, diagnosis, patient, cognitive, cognitive, region, sequence, volume, volume, image, image, during, white, white, follow, follow-up, for, for, from, gradient, hippocampus, hippocampus, impairment, measurement, measurement, measurement, mild, month, normal, normal, old, volume, volume, stable, white, white, with, woman, year";"34";"status, period, anterior, at, head, time, body, diagnosis, patient, cognitive, region, sequence, volume, image, during, white, follow, follow-up, for, from, gradient, hippocampus, impairment, measurement, mild, month, normal, old, volume, stable, white, with, woman, year"
"Diffuse cerebral atrophy increases with the progress of clinical stage of Alzheimer patients. Atrophy should be looked at relative to what is normal, correct for head size, age5, and some studies also correct for gender, however Mu et al5 found no differences in gender. Although global cerebral atrophy is found in Alzheimer patients 1,7, some parts of the brain are affected worse than other parts, especially the medial temporal lobe area is affected8. Atrophy can be found in the hippocampal, amygdala and entorhinal, perirhinal and parahippocampal cortices in the temporal lobe. Atrophy in these areas results in enlargement of the temporal horn. Total intracranial volume (TIV = WBV    SCF volume), does not differ between non-AD and AD groups7. Therefore TIV can be used as an appropriate parameter to correct for interindividual difference in head size.";"67";"brain, affected, atrophy, atrophy, atrophy, atrophy, atrophy, temporal lobe, temporal lobe, amygdala, relative, and, and, and, and, are, area, as, at, be, be, be, head, head, between, can, can, clinical, parameter, correct, correct, correct, volume, volume, stage, difference, diffuse, enlargement, size, size, for, for, for, gender, gender, global, intracranial, lobe, lobe, stage, medial, no, normal, other, progress, volume, volume, some, some, temporal, temporal, temporal, to, to, total, with, worse";"42";"brain, affected, atrophy, temporal lobe, amygdala, relative, and, are, area, as, at, be, head, between, can, clinical, parameter, correct, volume, stage, difference, diffuse, enlargement, size, for, gender, global, intracranial, lobe, stage, medial, no, normal, other, progress, volume, some, temporal, to, total, with, worse"
"Reference:
Christoffels. A Mechanistic Model for the Development and Maintenance of Portocentral Gradients in Gene Expression in the Liver. HEPATOLOGY 1999;29:1180-1192.

Figure 8F:
Expression of GS in serial sections of the liver of a dexamethasone-treated mouse.";"17";"gene, liver, liver, gene expression, dexamethasone, and, model, reference, development, development, expression, expression, for, maintenance, model, mouse, gene expression";"15";"gene, liver, gene expression, dexamethasone, and, model, reference, development, development, expression, for, maintenance, model, mouse, gene expression"
"vertical section of normal hMSCs";"5";"section, section, normal, section, vertical";"5";"section, section, normal, section, vertical"
"Reference:
Crawford et al. The Normal Adult Human Liver Biopsy: A Quantitative Reference Standard. HEPATOLOGY 1998; 28:323-331.

Figure 3H:
Terminal hepatic vein. Magnification x400.";"15";"human, liver, adult, vein, reference, reference, biopsy, standard, quantitative, hepatic, hepatic vein, liver biopsy, normal, standard, terminal";"14";"human, liver, adult, vein, reference, biopsy, standard, quantitative, hepatic, hepatic vein, liver biopsy, normal, standard, terminal"
"Widened sulci in alzheimer patients due to atrophy seen in several brain regions. The widening of sulci is presented in different sulci including supracallosal-cingulate marginal - parieto-occipital - anterior and posterior calcarine sulci and Sylvian fissures. The widening of the sulci lead to an increased CSF volume.";"14";"brain, atrophy, and, and, anterior, volume, due, due to, lead, marginal, posterior, volume, to, to";"12";"brain, atrophy, and, anterior, volume, due, due to, lead, marginal, posterior, volume, to"
"Effects of different tau constructs on mitochondrial distribution in CHO cells. Mitochondrial distribution in CHO cells stably transfected with different tau constructs was examined after paraformaldehyde fixation. This allows the visualization of total tau in the cells, but tends to dissociate tau from the microtubules (see Materials and Methods). Human tau23, the shortest tau-isoform (a and b), as well as K35 (c and d), a tau construct lacking nearly the entire projection domain (see Fig. 1) both led to the phenotype of mitochondrial clustering near the MTOC as seen in tau40-stable cells. On the other hand, K23 (e and f), a tau construct lacking the microtubule-binding region and K12 (g and h), consisting mainly of this MT-binding region (Fig. 1), did not alter the distribution of mitochondria. This argues for a tight binding of tau to microtubules as a prerequisite for impairment of plus-endÃdirected transport of these organelles and excludes the possibility that tau might inhibit kinesin by directly interacting with the motor protein. Mitochondria were stained with MitoTrackerÂª Red (a, c, e, and g) and transfected tau with polyclonal antiÃtau antibody K9JA (b, d, f, and h). Bar, 20 mm.";"78";"human, domain, tau, tau, tau, tau, tau, tau, tau, tau, tau, tau, tau, and, and, and, and, and, and, and, and, and, and, antibody, protein, as, as, as, as, binding, binding, binding, both, microtubule, cho cells, cho cells, region, region, construct, construct, phenotype, distribution, distribution, distribution, end, examined, fig, fig, hand, fixation, for, for, from, impairment, isoform, motor, near, other, projection, red, see, see, stable, to, to, to, total, well, with, with, with, with, binding, binding, binding, protein, microtubule, transport";"39";"human, domain, tau, and, antibody, protein, as, binding, both, microtubule, cho cells, region, construct, phenotype, distribution, end, examined, fig, hand, fixation, for, from, impairment, isoform, motor, near, other, projection, red, see, stable, to, total, well, with, binding, protein, microtubule, transport"
"Hippocampal atrophy";"1";"atrophy";"1";"atrophy"
"Centriols of CHO cells.";"1";"cho cells";"1";"cho cells"
"Peri and entorhinal atrophy";"2";"atrophy, and";"2";"atrophy, and"
"Reference: Alpini et al. The Pathobiology of Biliary Epithelia. HEPATOLOGY 2002;35: 1256-1268.

Fig. 2. Representative micrograph of an isolated intrahepatic bile duct. There is a good preservation of the epithelial layer with intact
tight junctions (arrows) and numerous microvilli projecting into the lumen (L). N, nucleus; M, mitochondria; G, Golgi area.";"21";"nucleus, duct, and, area, bile, bile duct, biliary, intrahepatic bile duct, reference, layer, epithelial, fig, good, intact, into, intrahepatic, lumen, lumen, preservation, with, nucleus";"21";"nucleus, duct, and, area, bile, bile duct, biliary, intrahepatic bile duct, reference, layer, epithelial, fig, good, intact, into, intrahepatic, lumen, lumen, preservation, with, nucleus"
"Confocal laser scanning microscopic images (xy-views) of the plaque formed on resin composite and human enamel surfaces at the 4-, 8- and 24-h periods. (Magnification ?600) (a) 4-h plaque on resin composite, (b) 8-h plaque on resin composite, (c) 24-h plaque on resin composite, (d) 4-h plaque on enamel, (e) 8-h plaque on enamel and (f) 24-h plaque on enamel.";"26";"human, and, and, and, at, composite, composite, composite, composite, laser, enamel, enamel, enamel, enamel, resin, resin, resin, resin, microscopic, plaque, plaque, plaque, plaque, plaque, plaque, plaque";"9";"human, and, at, composite, laser, enamel, resin, microscopic, plaque"
"Entorhinal cortex (ERC)(right) and hippocampal(left) volume measurement in MP-RAGE images. (A) normal cognition(NC); (B) mild cognitive impairment (MCI); (C) Alzheimer's disease(AD).";"16";"disease, alzheimer's disease, alzheimer's disease, and, cognition, cognitive, volume, impairment, left, measurement, mild, normal, volume, right, volume measurement, cognition";"16";"disease, alzheimer's disease, alzheimer's disease, and, cognition, cognitive, volume, impairment, left, measurement, mild, normal, volume, right, volume measurement, cognition"
"Disruption of microtubules by nocodazole leads to a random distribution of mitochondria in tau-stable CHO cells. Taustable cells (a and b) and mock-transfected CHO cells (c and d). Cells were treated with nocodazole to disrupt the MT cytoskeleton, fixed with methanol, and immunolabeled with antibodies against tubulin (b and d). In both cell lines, mitochondria, visualized by addition of MitoTrackerÂª Green before fixation (a and c), are now visible throughout the entire cytoplasm even in the cell periphery, suggesting the existence of an intact
MT network as a prerequisite for mitochondrial
clustering. Bar, 20 mm.";"43";"cytoplasm, cytoskeleton, tau, against, and, and, and, and, and, and, cell, cell, are, as, tubulin, both, cho cells, cho cells, cell, cell, disruption, distribution, fixation, for, green, intact, network, nocodazole, nocodazole, now, random, stable, to, to, visible, with, with, with, cytoskeleton, cell, cell, cytoplasm, cell periphery";"30";"cytoplasm, cytoskeleton, tau, against, and, cell, are, as, tubulin, both, cho cells, cell, disruption, distribution, fixation, for, green, intact, network, nocodazole, now, random, stable, to, visible, with, cytoskeleton, cell, cytoplasm, cell periphery"
"Immunohistochemical staining of a fibrillar cerebellar senile plaque from AD cerebellum for syndecan-3 (mAb 1C7).
The antibody strongly stained the fibrillar cerebellar senile plaque. 
bar = 25Âµm

(Referentie: Accumulation of heparan sulfate proteoglycans in cerebellar senile plaques -- Jack van Horssen, Johanneke Kleinnijenhuis, Cathy N. Maass, Annemieke A.M. Rensinka, Irene Otte-Hollera, Guido David, Lambert P.W.J. van den Heuvel, Pieter Wesseling, Robert M.W. de Waal, Marcel M. Verbeek)";"10";"cerebellum, antibody, for, from, heparan sulfate, plaque, plaque, staining, syndecan, syndecan";"9";"cerebellum, antibody, for, from, heparan sulfate, plaque, staining, syndecan, syndecan"
"Reference:
Crawford. Development of the Intrahepatic Biliary Tree. Seminars in Liver Disease, volume 22, number 3, 2002.

Figure 5C:
Immunohistochemistry of the developing liver, stained for CK-19. 18-week fetus, showing formation of peripheral ductal structures, with discontinuity of the ductal plate. A prominent portal vein is in the center of the portal tract, and a smaller hepatic artery is eccentrically located. 
Magnification x40.";"30";"disease, liver disease, fetus, liver, liver, artery, number, and, vein, plate, biliary, reference, development, center, volume, development, ductal, ductal, for, formation, hepatic, hepatic artery, intrahepatic, peripheral, portal, portal, portal vein, volume, week, with";"27";"disease, liver disease, fetus, liver, artery, number, and, vein, plate, biliary, reference, development, center, volume, development, ductal, for, formation, hepatic, hepatic artery, intrahepatic, peripheral, portal, portal vein, volume, week, with"
"Pedigree of a family with both Alzheimer’s disease (AD) and hemorrhagic strokes due to APP A692G substitution in APP. The pedigree is disguised for reasons of confidentiality. Roman numbers are the generations and affected individuals are numbered on the upper corner. The proband is indicated with an arrow and an asterisk indicates individuals where autopsy is performed. Upper half-filled symbols represent patients presenting with AD, and lower half-filled symbols, with cerebral hemorrhage. Few patients had strokes and were also diagnosed to have AD (filled symbols). Dementia in individual III-16 was due to unrelated etiology as the mutation was absent here.";"46";"disease, dementia, absent, affected, hemorrhage, dementia, and, and, and, and, and, are, are, as, autopsy, both, etiology, family, cerebral hemorrhage, confidentiality, due, due, due to, due to, family, few, for, half, half, lower, lower, pedigree, pedigree, performed, proband, substitution, to, to, to, unrelated, upper, upper, with, with, with, with";"31";"disease, dementia, absent, affected, hemorrhage, dementia, and, are, as, autopsy, both, etiology, family, cerebral hemorrhage, confidentiality, due, due to, family, few, for, half, lower, lower, pedigree, performed, proband, substitution, to, unrelated, upper, with"
"Atrophy amygdala- hippocampus- and enthorhinal cortex with consequent enlargement of temporal horns";"7";"atrophy, amygdala, and, enlargement, hippocampus, temporal, with";"7";"atrophy, amygdala, and, enlargement, hippocampus, temporal, with"
"Fluorescence enhancement observed when probes were bound to lesions and in vitro fibrils. 
Confocal fluorescence images of human AD brain specimens showing diffuse SPs, dense core SPs, and NFTs labeled with FENE . All images were pseudocolored yellow. 
Scale bar, 10 Âµm.

(Referentie: Binding Characteristics of Radiofluorinated 6-Dialkylamino-2-
Naphthylethylidene Derivatives as Positron Emission Tomography Imaging Probes for -Amyloid Plaques in Alzheimerâs Disease -- Eric D. Agdeppa, Vladimir Kepe, Jie Liu, Samuel Flores-Torres, Nagichettiar Satyamurthy, Andrej Petric,Greg M. Cole, Gary W. Small, Sung-Cheng Huang, and Jorge R. Barrio)";"30";"disease, human, brain, all, and, and, and, as, binding, bound, positron emission tomography, scale, core, dense, diffuse, emission, fluorescence, fluorescence, for, labeled, observed, positron, small, to, tomography, when, with, yellow, in vitro, binding";"27";"disease, human, brain, all, and, as, binding, bound, positron emission tomography, scale, core, dense, diffuse, emission, fluorescence, for, labeled, observed, positron, small, to, tomography, when, with, yellow, in vitro, binding"
"Immunohistochemical staining of a fibrillar cerebellar senile plaque from AD cerebellum for syndecan-1 and -3 (mAb 2E9).
The antibody strongly stained the fibrillar cerebellar senile plaque. 
bar = 25Âµm

(Referentie: Accumulation of heparan sulfate proteoglycans in cerebellar senile plaques -- Jack van Horssen, Johanneke Kleinnijenhuis, Cathy N. Maass, Annemieke A.M. Rensinka, Irene Otte-Hollera, Guido David, Lambert P.W.J. van den Heuvel, Pieter Wesseling, Robert M.W. de Waal, Marcel M. Verbeek)";"12";"and, cerebellum, antibody, for, from, heparan sulfate, plaque, plaque, staining, syndecan-1, syndecan, syndecan";"11";"and, cerebellum, antibody, for, from, heparan sulfate, plaque, staining, syndecan-1, syndecan, syndecan"
"Truncation of tau at Asp421 increases the rate and extent of tau filament assembly in vitro. 
Kinetic analysis of the assembly of recombinant WT or truncated (1â421) tau proteins into tau filaments in vitro. Tau polymerization was induced by the addition of 75 ÂµM arachidonic acid to 4 ÂµM recombinant WT or truncated tau proteins and measured by right-angle laser light scattering. Scattering intensities were measured on a scale of 0â256 and are proportional to the total mass of polymerized tau filaments (30). The data are presented as the mean SEM of three independent experiments.";"45";"mass, data, acid, tau, tau, tau, tau, tau, tau, tau, analysis, and, and, and, angle, arachidonic acid, are, are, as, assembly, assembly, assembly, assembly, at, rate, scale, polymerization, laser, light scattering, extent, mean, into, mass, light, measured, measured, or, or, right, three, to, to, total, in vitro, in vitro";"30";"mass, data, acid, tau, analysis, and, angle, arachidonic acid, are, as, assembly, assembly, at, rate, scale, polymerization, laser, light scattering, extent, mean, into, mass, light, measured, or, right, three, to, total, in vitro"
"Atrophy of enthorial cortex";"1";"atrophy";"1";"atrophy"
"CHO cell.
NL=Nucleosome
P=Nuclear Pore
R=Ribosome
HC=Heterochromatin
EC=Euchromatin
NE=Nuclear Envelop
M=Mitochondria";"16";"ribosome, cell, cell, nucleosome, euchromatin, heterochromatin, nuclear, nuclear, nuclear pore, pore, ribosome, nucleosome, euchromatin, heterochromatin, cell, nuclear pore";"15";"ribosome, cell, cell, nucleosome, euchromatin, heterochromatin, nuclear, nuclear pore, pore, ribosome, nucleosome, euchromatin, heterochromatin, cell, nuclear pore"
"Central sulcus enlargement.";"1";"enlargement";"1";"enlargement"
"Conidia van aspergillus niger";"3";"aspergillus, aspergillus niger, niger";"3";"aspergillus, aspergillus niger, niger"
"Fluorescence micrograph of a section of ransgenic mouse brain stained with thioflavin-S.";"8";"brain, mouse brain, section, fluorescence, section, mouse, section, with";"8";"brain, mouse brain, section, fluorescence, section, mouse, section, with"
"Real Image of 50s ribosome";"3";"ribosome, image, ribosome";"3";"ribosome, image, ribosome"
"PIB is differentially retained only in amyloid-laden cortical areas of AD brain. Standardized uptake values (SUVs) demonstrating
brain entry and clearance of PIB. A to C represent averaged SUV values for all HC subjects (open, black symbols; n 9) and all AD patients (filled, red symbols; n 15) in cerebellum, subcortical white matter, and frontal cortex. D and E show brain entry and clearance in cerebellum (triangles), subcortical white matter (diamonds), frontal cortex (squares), and parietal
cortex (circles) for an older control subject (D) and an AD patient (E). Error bars represent one standard deviation (SD) and are too small to be seen in some of the HC subject data in A to C. Asterisks (e.g., in C) indicate a significant difference between ADand HC values (p 0.006). Shaded areas highlight the 40 to 60-minute time period used for the summed SUV data displayed in
Figures 4 to 7.";"57";"brain, brain, brain, data, data, all, all, and, and, and, and, and, and, and, and, period, cerebellum, cerebellum, are, be, between, time, black, white matter, white matter, patient, control, standard, difference, entry, entry, error, white, white, for, for, for, subject, subject, minute, one, open, parietal, red, significant, small, some, standard, standard deviation, to, to, to, to, to, uptake, white, white";"34";"brain, data, all, and, period, cerebellum, are, be, between, time, black, white matter, patient, control, standard, difference, entry, error, white, for, subject, minute, one, open, parietal, red, significant, small, some, standard, standard deviation, to, uptake, white"
"Images of an AD patient
(70-year-old female, MMSE
score 19). The hippocampus
(arrow) is clearly atrophic in
the thin-section MR image (a).
The Z-score images of 3D-SSP
(b) show bilateral hypoperfusion
of the parietotemporal
lobes and posterior cingulate
gyri (arrows), whereas the abnormal
pattern of AD is not
definite in the transaxial section
displays of SPECT (c) or
the perfusion MR image (d).";"23";"abnormal, pattern, and, score, score, bilateral, patient, female, section, section, image, image, section, section, hippocampus, old, or, posterior, section, section, thin, year, z-score";"18";"abnormal, pattern, and, score, bilateral, patient, female, section, image, section, hippocampus, old, or, posterior, section, thin, year, z-score"
"Fill in your public notes here.";"2";"fill, public";"2";"fill, public"
"Enlargement of the temporal horn.";"2";"enlargement, temporal";"2";"enlargement, temporal"
"Representative images from an aged matched
control (left column) and a patient with probable
Alzheimerâs disease (right column). The MR images in the rows (top to bottom, respectively) are T2 weighted at the level of the internal capsule, corresponding LI anisotropy images, matching colour coded LI images, and colour coded
LI images at the level of the superior longitudinal fasciculus. The splenium (red arrow), superior longitudinal fasciculus (light green arrow), cingulum (dark green), and
pyramidal tract (light blue) are demonstrated in the colour coded LI maps.";"38";"disease, and, and, and, anisotropy, are, are, at, at, blue, bottom, patient, capsule, column, column, column, column, control, from, green, green, internal, internal capsule, left, level, level, light, light, longitudinal, longitudinal, red, right, superior, superior, to, top, with, capsule";"27";"disease, and, anisotropy, are, at, blue, bottom, patient, capsule, column, column, control, from, green, internal, internal capsule, left, level, light, longitudinal, red, right, superior, to, top, with, capsule"
"Atrophy in perirhinal cortex is seen in Alzheimer patiens. Different experiments show that perirhinal damage result in cognitive impairment, a symptom that is prominent in alzheimer disease 22-24. 
A decrease of volume of 21-42 percentage can be found in alzheimer patients compared t controls 9, 19. Volumetric measurements of the perirhinal cortex have a sensitivity of  73- 85 percentage and a specificity of 62-81 percentage 9, 19. The difference in specificity differs between left and right entorhinal cortices9.";"21";"disease, atrophy, symptom, and, and, be, between, can, cognitive, damage, volume, difference, impairment, left, percentage, percentage, percentage, volume, right, sensitivity, sensitivity";"18";"disease, atrophy, symptom, and, be, between, can, cognitive, damage, volume, difference, impairment, left, percentage, volume, right, sensitivity, sensitivity"
